0,1,2,3,4,5,6,7
4779,0,-0.012217,-0.004887,-0.303888,2.273182,9.662218,"0.000000"
7537,0,-0.014661,-0.002443,-0.306281,2.29711,9.650254,"0.000000"
10476,0,-0.009774,0,-0.31346,2.258824,9.669396,"0.000000"
13479,0,-0.009774,-0.002443,-0.311067,2.249253,9.652646,"0.000000"
16498,-0.002443,-0.012217,-0.002443,-0.318245,2.261218,9.650254,"0.000000"
19486,-0.002443,-0.012217,-0.002443,-0.299103,2.285146,9.63829,"0.000000"
22484,0.002443,-0.014661,0,-0.299103,2.285146,9.676576,"0.000000"
25485,0.002443,-0.012217,-0.002443,-0.289532,2.335395,9.738788,"0.000000"
28487,0.004887,-0.014661,-0.002443,-0.157926,2.943172,10.126426,"0.000000"
31487,0.021991,-0.061087,-0.00733,0.540778,2.744568,9.643075,"0.000000"
34490,0.034208,-0.041539,-0.024435,0.045464,2.234896,9.695717,"0.000000"
37492,0.00733,0.083078,-0.041539,-0.502493,10.722239,16.474585,"0.000000"
40493,0.188146,0.07086,-0.026878,1.641476,17.900707,17.89592,"0.000000"
43518,0.496023,0.068417,-0.078191,1.622334,20.700308,19.40579,"0.000000"
46499,0.564439,0.085521,-0.124617,0.595813,16.804794,9.370294,"0.000000"
49506,0.491136,-0.012217,-0.07086,-0.574277,16.599012,6.518049,"0.000000"
52506,0.37385,0.019548,-0.014661,-1.938186,15.402599,2.163112,"0.000000"
55506,0.280998,0.097738,-0.00733,-2.208575,17.728424,1.70369,"0.000000"
58499,0.158825,-0.112399,0.009774,-1.320838,19.432114,2.749353,"0.000000"
61500,0.163712,-0.073304,0.012217,-0.78006,21.860828,3.524628,"0.000000"
64501,0.175929,0.012217,0.019548,-1.782653,24.114866,5.379066,"0.000000"
67517,0.146608,0.051313,0.026878,-1.72044,24.471397,4.788038,"0.000000"
70506,0.085521,-0.073304,0.048869,-1.301696,24.902105,5.410172,"0.000000"
73502,0.021991,-0.18326,0.0562,0.155533,24.624537,5.876772,"0.000000"
76502,0.026878,-0.124617,0.034208,0.51685,25.385454,6.802795,"0.000000"
79503,-0.002443,-0.136834,0.017104,0.162712,25.213173,7.018148,"0.000000"
82504,0.012217,-0.144164,0.017104,-0.162712,24.100512,6.226124,"0.000000"
85506,-0.004887,0.031765,0.075747,-1.119841,24.873392,7.738389,"0.000000"
88507,-0.002443,0.053756,0.092852,-0.823131,25.026533,7.118648,"0.000000"
91507,0.043982,0.012217,0.083078,0.454636,25.115067,7.01097,"0.000000"
94509,0.083078,-0.041539,0.080634,1.004986,25.81377,7.774281,"0.000000"
97514,0.092852,-0.200364,0.07086,1.158126,27.014967,7.908279,"0.000000"
100539,0.048869,-0.327424,0.0562,0.648455,27.204002,8.535198,"0.000000"
103515,0.051313,-0.144164,-0.024435,0.842274,26.572296,8.922836,"0.000000"
106583,0.051313,0.026878,-0.046426,0.205783,26.045874,9.533006,"0.000000"
109547,0.163712,0.031765,-0.058643,0.177069,29.017759,6.874579,"0.000000"
112548,0.151495,-0.207694,-0.048869,1.103091,28.532017,7.597212,"0.000000"
115548,0.224798,-0.053756,0.012217,0.241675,29.252258,6.412765,"0.000000"
118549,0.161268,0.014661,0.068417,0.461815,26.246872,1.548156,"0.000000"
121552,0.053756,-0.171042,0.058643,-0.835095,28.778479,5.836095,"0.000000"
124552,-0.058643,0.021991,-0.009774,0.189033,30.553953,2.711068,"0.000000"
127553,0.043982,0.112399,-0.139277,0.200997,42.142395,7.336394,"0.000000"
130556,0.11973,-0.051313,-0.117286,-0.184247,43.712086,6.360123,"0.000000"
133556,0.012217,-0.156382,-0.004887,-0.210568,37.773098,7.910672,"0.000000"
136557,0.046426,-0.031765,-0.014661,-2.976671,32.307892,7.068398,"0.000000"
139559,-0.046426,-0.024435,0.058643,-0.351745,30.343386,4.146762,"0.000000"
