0,1,2,3,4,5,6,7
2593,0,-0.012217,0,-0.107677,0.043071,9.920643,"0.000000"
5605,0,-0.014661,0.623083,-0.11007,0.055035,9.920643,"0.000000"
8515,0,-0.012217,0,-0.088534,0.038285,9.930214,"0.000000"
11357,0.002443,-0.014661,-0.002443,-0.114855,0.047856,9.925428,"0.000000"
14630,0,-0.014661,0,-0.098106,0.050249,9.935,"0.000000"
17308,0,-0.012217,0,-0.105284,0.038285,9.920643,"0.000000"
20416,0,-0.014661,-0.002443,-0.095713,0.038285,9.939785,"0.000000"
23435,0,-0.009774,0,-0.112463,0.052642,9.911071,"0.000000"
26359,-0.002443,-0.012217,0,-0.119641,0.0335,9.923036,"0.000000"
29310,0.002443,-0.012217,0,-0.102891,0.0335,9.930214,"0.000000"
32359,0.002443,-0.009774,0,-0.098106,0.031107,9.932607,"0.000000"
35311,0,-0.012217,-0.002443,-0.095713,0.028714,9.908679,"0.000000"
38889,-0.002443,-0.012217,-0.002443,-0.11007,0.0335,9.925428,"0.000000"
41600,0,-0.012217,-0.002443,-0.102891,0.050249,9.925428,"0.000000"
44559,0,-0.012217,-0.002443,-0.098106,0.052642,9.91825,"0.000000"
47560,0.002443,-0.012217,-0.002443,-0.083749,0.040678,9.925428,"0.000000"
50559,0,-0.00733,0.623083,-0.105284,0.043071,9.913465,"0.000000"
53560,-0.002443,-0.012217,0,-0.086142,0.040678,9.923036,"0.000000"
56562,0,-0.014661,-0.002443,-0.09332,0.040678,9.915856,"0.000000"
59562,0,-0.009774,0.623083,-0.112463,0.045464,9.920643,"0.000000"
62565,0.002443,-0.017104,-0.002443,-0.078963,0.026321,9.932607,"0.000000"
65566,0,-0.012217,0,-0.105284,0.026321,9.935,"0.000000"
68568,0,-0.014661,-0.002443,-0.095713,0.047856,9.927821,"0.000000"
71568,0,-0.012217,-0.002443,-0.086142,0.043071,9.920643,"0.000000"
74569,0.002443,-0.012217,0,-0.100499,0.050249,9.920643,"0.000000"
77572,0,-0.012217,-0.625526,-0.098106,0.059821,9.925428,"0.000000"
80574,0,-0.012217,-0.004887,-0.117248,0.045464,9.915856,"0.000000"
83578,-0.002443,-0.012217,-0.002443,-0.09332,0.047856,9.920643,"0.000000"
86621,-0.002443,-0.012217,0,-0.107677,0.045464,9.942178,"0.000000"
89580,-0.002443,-0.014661,-0.002443,-0.098106,0.035892,9.949356,"0.000000"
92581,0,-0.014661,-0.002443,-0.102891,0.035892,9.920643,"0.000000"
95581,0,-0.012217,0,-0.102891,0.052642,9.935,"0.000000"
98583,0.002443,-0.014661,-0.002443,-0.09332,0.043071,9.920643,"0.000000"
101585,0.002443,-0.012217,0,-0.11007,0.055035,9.925428,"0.000000"
104587,0.002443,-0.00733,-0.002443,-0.11007,0.031107,9.920643,"0.000000"
