0,1,2,3,4,5,6,7
4726,-0.625526,-0.014661,0,-0.258425,1.837688,9.760324,"0.000000"
7466,0,-0.009774,0,-0.256032,1.842474,9.741181,"0.000000"
10425,0,-0.012217,-0.002443,-0.256032,1.85683,9.760324,"0.000000"
12105,0,-0.012217,-0.002443,-0.256032,1.85683,9.760324,"0.000000"
15098,12.913692,-80.035561,65.992989,39.199219,-43.628334,3.35713,"0.000000"
18099,12.913692,-80.035561,65.992989,39.199219,-36.449867,3.35713,"0.000000"
21100,12.913692,-80.035561,65.992989,39.199219,0.002393,0,"0.000000"
24104,12.913692,-80.035561,65.992989,39.199219,-22.092932,3.35713,"0.000000"
27104,12.874596,-80.035561,65.992989,39.199219,-14.916858,3.35713,"0.000000"
31437,0.009774,-0.00733,-0.002443,-0.081356,2.818745,10.700702,"0.000000"
34439,0.021991,-0.012217,0,0.066999,3.428915,11.341979,"0.000000"
37440,0.036652,-0.021991,-0.009774,0.964308,4.091727,12.033505,"0.000000"
40440,0.085521,-0.041539,-0.026878,1.122234,4.503293,12.392428,"0.000000"
42113,0.085521,-0.041539,-0.026878,1.122234,4.503293,12.392428,"0.000000"
45112,12.913692,-80.035561,65.992989,39.199219,0.002393,0,"0.000000"
48115,12.913692,-80.035561,65.992989,39.199219,0.002393,0,"0.000000"
52449,0.31032,0.364076,-0.053756,-0.114855,6.101698,16.675583,"0.000000"
55453,0.386067,0.322537,-0.051313,-0.351745,7.056434,15.924235,"0.000000"
58462,0.525344,0.280998,-0.06353,-0.323031,7.424929,15.072391,"0.000000"
61456,0.598648,0.339641,-0.0562,-0.157926,8.300702,15.558133,"0.000000"
64456,0.654848,0.342085,-0.036652,-0.76331,9.554541,14.871392,"0.000000"
67457,0.620639,0.405614,-0.009774,-2.079363,10.712668,-2.732604,"0.000000"
70635,0.911411,0.112399,0.158825,3.5007,15.23271,-8.042276,"0.000000"
73464,0.50091,0.332311,0.295659,2.474179,11.263017,7.020542,"0.000000"
76462,0.835664,0.847881,0.280998,3.565306,14.280365,16.831116,"0.000000"
79462,0.877202,1.390329,0.234572,2.146362,16.031912,21.521049,"0.000000"
82462,1.104444,1.39766,0.288328,1.51705,21.655045,18.611376,"0.000000"
85463,1.378112,1.561372,0.344528,-2.428715,20.32942,8.475378,"0.000000"
88466,1.382999,1.568702,0.315206,-5.721239,21.975683,7.530213,"0.000000"
91512,1.385442,0.742812,0.219911,-1.052842,29.343185,15.206388,"0.000000"
94473,1.211957,-0.593761,0.068417,2.254039,35.79184,19.40579,"0.000000"
97472,1.52472,-0.862542,-0.329867,6.518049,37.103111,14.651253,"0.000000"
100502,1.451416,-0.351858,-0.476475,-0.035892,8.513663,4.503293,"0.000000"
103581,1.246165,0.332311,-0.503353,-3.354738,3.582056,-0.325424,"0.000000"
