0,1,2,3,4,5,6,7
4106,0.002443,-0.012217,0,-0.42353,1.947758,9.726824,"0.000000"
6865,0,-0.014661,-0.002443,-0.421137,1.916651,9.698111,"0.000000"
9806,0,-0.012217,-0.002443,-0.416351,1.919044,9.726824,"0.000000"
12807,0.002443,-0.012217,0,-0.437887,1.923829,9.724432,"0.000000"
15824,0,-0.009774,-0.002443,-0.42353,1.926222,9.700503,"0.000000"
18873,0.002443,-0.012217,-0.002443,-0.421137,1.935793,9.777073,"0.000000"
21812,0,-0.009774,-0.002443,-0.418744,2.017149,9.796216,"0.000000"
24813,0,-0.012217,-0.002443,-0.411566,2.215754,9.973285,"0.000000"
27815,0.004887,-0.00733,-0.004887,-0.392423,2.679961,10.985448,"0.000000"
30818,0.017104,-0.012217,-0.004887,0.074178,4.132405,11.667403,"0.000000"
33845,0.065973,-0.046426,-0.014661,0.495314,4.888536,12.205789,"0.000000"
36847,0.107512,-0.06353,-0.031765,0.653241,5.453243,12.985848,"0.000000"
39823,0.146608,-0.083078,-0.06353,1.682154,8.764909,15.850057,"0.000000"
42823,0.266337,-0.107512,-0.100182,1.832902,10.925628,17.455641,"0.000000"
45823,0.432493,-0.014661,-0.171042,1.892723,14.155939,24.241688,"0.000000"
48824,0.569326,0.474031,-0.293215,-2.957529,18.443876,25.019354,"0.000000"
51825,0.840551,1.070236,-0.263894,-6.766902,20.427526,25.818556,"0.000000"
54854,0.850324,1.077566,-0.06353,-5.553742,12.717853,12.849458,"0.000000"
57855,0.921185,-1.043358,0.095295,0.629312,15.412171,14.687145,"0.000000"
60858,1.414764,-1.08734,-0.043982,2.514857,18.151953,17.477179,"0.000000"
63861,1.534493,-0.757473,-0.100182,1.574477,20.578274,17.285749,"0.000000"
66861,1.590693,-0.07086,-0.256563,-2.364109,21.542582,16.673187,"0.000000"
69865,1.690875,0.205251,-0.217468,-1.658226,23.834908,16.386049,"0.000000"
72866,1.681101,0.161268,-0.109956,0.928415,23.234308,10.571491,"0.000000"
75868,1.756848,-0.014661,0.021991,1.122234,23.507088,8.958729,"0.000000"
78870,1.881465,0.12706,0.046426,2.155933,24.547968,8.106883,"0.000000"
81870,1.813048,0.041539,0.014661,1.995614,26.06741,7.487142,"0.000000"
84870,1.800831,0.004887,-0.095295,0.411566,25.452456,7.219146,"0.000000"
87871,1.830152,0.11973,-0.090408,-0.825524,25.12464,5.285746,"0.000000"
90872,1.830152,0.19059,-0.11973,-1.138984,24.244078,2.404787,"0.000000"
93873,1.759292,0.417832,-0.097738,-5.989235,10.356135,-11.686546,"0.000000"
97034,1.177748,0.11973,0.024435,-5.426922,3.318845,-21.00659,"0.000000"
99886,0.574213,-0.51557,0.207694,-3.029314,3.108277,-26.656042,"0.000000"
102879,0.329867,-0.803899,0.222355,0.052642,7.070791,-21.918257,"0.000000"
105880,-0.149051,-0.647517,0.061087,1.667797,4.737789,-21.410976,"0.000000"
108882,-0.327424,-0.498466,-0.100182,2.112862,20.432314,2.811567,"0.000000"
111884,0.207694,-0.075747,-0.659734,12.739388,70.028351,62.438313,"0.000000"
114884,1.326799,2.419026,-0.957837,-2.646462,75.998436,78.398438,"0.000000"
117924,2.120924,1.742188,-0.31765,-7.269395,49.399818,41.898323,"0.000000"
120887,2.597399,-1.307252,-0.410501,1.234697,31.401012,2.964707,"0.000000"
123887,2.890614,-0.356745,-0.0562,4.156333,23.468805,-7.164111,"0.000000"
127041,2.890614,-0.356745,-0.0562,4.156333,23.468805,-7.164111,"0.000000"
129897,1.551598,-0.540005,-0.750143,-9.784252,11.796617,-25.88077,"0.000000"
132898,0.752586,0.652404,-0.307876,-14.201403,17.711674,-16.577475,"0.000000"
135901,0.410501,0.759916,0.117286,-15.689737,47.054859,7.410572,"0.000000"
138902,1.605354,0.764803,0.427606,-11.389836,52.362141,10.681561,"0.000000"
141903,1.331686,0.356745,0.784351,-4.910072,51.206406,4.388436,"0.000000"
144904,1.382999,-0.740369,0.796568,6.460621,43.968117,-10.837093,"0.000000"
147904,0.645074,-1.192409,0.195477,23.047668,39.830925,-11.081161,"0.000000"
150905,0.640187,-0.576657,-0.288328,20.635704,51.771114,-3.613162,"0.000000"
153910,0.671952,0.371406,-0.676839,14.708682,11.834901,-32.480175,"0.000000"
156911,1.571145,-0.312763,-0.623083,-1.249053,8.02792,-40.589455,"0.000000"
159914,0.095295,2.152689,-0.422719,-15.605989,20.609381,-33.619156,"0.000000"
162914,-1.329243,1.839926,-0.249233,-10.006784,23.164915,-26.053055,"0.000000"
165917,-0.847881,-0.322537,0.117286,-7.520642,36.679577,-1.914258,"0.000000"
168917,-1.346347,-0.31765,0.195477,-5.288138,41.998825,10.4351,"0.000000"
171919,-0.906524,0.039095,0.251676,2.400001,50.175098,29.910284,"0.000000"
174920,-0.737925,0.141721,0.036652,4.366901,42.929634,16.910078,"0.000000"
177924,-0.017104,0.173486,0.021991,7.307681,41.386261,10.279567,"0.000000"
180923,-0.349415,-0.295659,0.124617,6.230911,26.069805,-10.674382,"0.000000"
183939,-0.696386,0.371406,-0.43738,-6.283552,21.750757,-8.530412,"0.000000"
186934,-0.816116,0.38851,-0.012217,-12.466605,21.413368,-6.374479,"0.000000"
189928,-0.605978,-0.178373,0.161268,-10.789237,36.169907,-0.751346,"0.000000"
192929,-1.133766,0.207694,0.395841,-5.728417,40.407597,7.109076,"0.000000"
195952,-1.22173,1.170418,0.368963,-5.919843,49.186863,10.078569,"0.000000"
198934,0.193033,0.271224,0.38851,9.822537,35.700912,11.552547,"0.000000"
201932,-0.899194,-0.068417,0.173486,14.426328,30.666414,11.882757,"0.000000"
204934,-0.730595,0.933402,-0.053756,11.076376,31.231121,21.312874,"0.000000"
207939,-0.498466,1.798387,-0.342085,5.036891,30.116066,15.349957,"0.000000"
210940,-0.036652,-0.100182,-0.349415,-7.484749,28.749763,1.957329,"0.000000"
213938,-0.268781,1.175305,-0.175929,-13.99562,24.624537,-0.713061,"0.000000"
216980,-0.591318,1.617571,0.102625,-15.591633,29.551361,1.892723,"0.000000"
219945,-0.368963,-0.615752,0.408058,-5.982057,29.379076,9.846465,"0.000000"
222943,-0.456927,-0.144164,0.442266,-0.490529,29.888748,12.983455,"0.000000"
225945,-0.24679,0.095295,0.312763,4.85743,30.805199,19.377079,"0.000000"
228947,0.039095,0.263894,0.004887,3.012564,27.768707,13.71566,"0.000000"
231949,0.215025,0.278555,0.087965,-0.430708,26.947969,6.953543,"0.000000"
234949,0.12706,-0.024435,0.102625,-2.837888,30.592237,6.984649,"0.000000"
237952,0.046426,-0.109956,0.212581,0.375673,33.935013,9.152547,"0.000000"
240953,0.215025,0.058643,0.090408,0.449851,33.209984,11.045269,"0.000000"
243956,0.288328,0.283441,0.041539,0.294317,27.469606,1.01695,"0.000000"
246958,0.212581,0.102625,0.068417,-1.495514,29.804998,5.206782,"0.000000"
249959,0.300546,-0.024435,0.156382,1.808974,56.64529,27.610781,"0.000000"
252960,0.25412,0.337198,0.031765,-1.337588,2.318645,-25.615166,"0.000000"
255962,-0.232129,-0.777021,0.124617,2.876173,14.213367,-18.515661,"0.000000"
258963,-0.610865,0.561996,-0.019548,2.079363,12.873385,-13.658233,"0.000000"
261966,-0.097738,0.476475,0.031765,3.07717,45.717274,31.513475,"0.000000"
264968,-0.129503,0.938289,-0.232129,-11.341979,34.308289,21.332014,"0.000000"
267969,0.408058,0.427606,0.156382,-13.555341,39.280579,12.981064,"0.000000"
270970,0.107512,0.57177,0.376293,-10.533205,30.807592,3.069991,"0.000000"
273971,0.085521,-1.273043,0.432493,8.772088,33.320053,7.288538,"0.000000"
276974,0.141721,-0.89675,0.087965,11.4353,28.666016,13.043278,"0.000000"
279976,0.320093,-0.039095,-0.083078,9.14776,26.409584,6.439086,"0.000000"
282980,0.45204,0.840551,-0.085521,-5.345566,27.026932,4.278367,"0.000000"
285978,0.412945,0.158825,-0.002443,-7.499106,30.494133,2.24686,"0.000000"
288979,0.559553,-0.302989,0.109956,-6.549156,32.025539,0.859023,"0.000000"
291979,0.43738,0.122173,0.263894,-1.976472,32.228928,4.299902,"0.000000"
295008,0.371406,-0.249233,0.205251,1.194019,31.109087,4.144369,"0.000000"
297989,0.263894,-0.596204,0.095295,2.718246,26.342585,4.900501,"0.000000"
300982,0.496023,0.322537,0.232129,1.18684,26.663223,6.881758,"0.000000"
303985,0.522901,0.073304,0.241903,3.543771,31.458437,6.876972,"0.000000"
306986,0.586431,-0.161268,0.105069,5.158926,33.298519,4.749753,"0.000000"
309988,0.542448,0.393397,-0.114843,0.078963,23.801409,-8.310272,"0.000000"
312990,0.185703,-0.420275,-0.061087,-0.655633,15.704096,-15.74238,"0.000000"
315998,-0.151495,-0.989602,-0.0562,-7.781459,49.986065,23.042881,"0.000000"
319019,0.474031,1.34146,0.178373,-8.865408,38.170307,11.75833,"0.000000"
321993,0.645074,-0.112399,0.427606,-4.780859,25.167709,-7.623533,"0.000000"
324993,0.146608,-1.351234,0.200364,8.944371,19.597218,-15.684953,"0.000000"
327995,-0.425162,0.513127,0.095295,4.603791,38.73262,10.750952,"0.000000"
330995,-0.64263,1.847256,-0.053756,-0.930808,58.731831,26.830719,"0.000000"
333998,-0.168599,0.591318,-0.024435,-0.638884,7.085148,-13.883157,"0.000000"
